"Pr√ºfung","A:","Name","Note","age","TICKED:age","lAS1","TICKED:lAS1","lAS2","TICKED:lAS2","lAS3","TICKED:lAS3","lage","TICKED:lage","latent01","TICKED:latent01","latent02","TICKED:latent02","latent03","TICKED:latent03","latent04","TICKED:latent04","latent05","TICKED:latent05","latent06","TICKED:latent06","latent07","TICKED:latent07","latent08","TICKED:latent08","latent09","TICKED:latent09","latent10","TICKED:latent10","latent11","TICKED:latent11","latent12","TICKED:latent12","mAS1","TICKED:mAS1","mAS2","TICKED:mAS2","mAS3","TICKED:mAS3","mAS4","TICKED:mAS4","mAS5","TICKED:mAS5","polint","TICKED:polint","sex","TICKED:sex","v5a","TICKED:v5a"
"130","","?","0","","A","","E","","D","","D","","B","","B","","C","","A","","E","","C","","C","","A","","B","","B","","B","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"131","","?","0","","B","","B","","D","","D","","C","","B","","E","","A","","B","","E","","C","","B","","B","","B","","B","","E","","C","","C","","C","","D","","D","","D","","D","","B","","B"
"132","","?","0","","B","","B","","D","","C","","A","","D","","A","","A","","B","","E","","C","","A","","E","","B","","C","","B","","C","","D","","D","","D","","D","","D","","B","","B","","D"
"133","","?","0","","B","","D","","D","","D","","B","","E","","C","","A","","D","","C","","D","","E","","E","","C","","D","","E","","D","","D","","D","","D","","D","","D","","D","","B","","A"
"134","","?","0","","B","","B","","C","","C","","C","","A","","B","","A","","B","","E","","A","","A","","B","","A","","B","","B","","A","","E","","C","","D","","C","","D","","B","","B","","B"
"135","","?","0","","B","","B","","D","","D","","C","","C","","D","","A","","B","","B","","B","","A","","B","","B","","C","","B","","C","","C","","C","","C","","C","","C","","C","","B","","B"
"136","","?","0","","B","","B","","C","","C","","B","","A","","A","","A","","B","","A","","B","","B","","A","","A","","E","","A","","E","","C","","D","","D","","D","","D","","A","","B","","A"
"137","","?","0","","B","","D","","D","","D","","B","","C","","C","","B","","C","","B","","C","","C","","C","","B","","D","","C","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"138","","?","0","","B","","D","","D","","D","","B","","B","","B","","A","","C","","B","","C","","C","","C","","B","","B","","B","","C","","B","","E","","D","","E","","D","","B","","A","","B"
"139","","?","0","","B","","D","","D","","D","","C","","C","","C","","B","","B","","C","","D","","C","","C","","B","","E","","C","","C","","D","","D","","D","","D","","D","","A","","A","","B"
"140","","?","0","","D","","E","","A","","A","","C","","B","","D","","A","","B","","B","","A","","A","","A","","B","","A","","A","","A","","E","","E","","E","","E","","E","","D","","B","","A"
"141","","?","0","","D","","D","","D","","D","","A","","B","","D","","A","","C","","C","","D","","D","","B","","C","","D","","C","","D","","D","","D","","D","","D","","D","","A","","B","","D"
"142","","?","0","","B","","E","","D","","D","","C","","C","","C","","A","","B","","D","","D","","A","","E","","B","","B","","B","","A","","C","","D","","D","","D","","C","","B","","B","","A"
"144","","?","0","","B","","B","","D","","C","","B","","C","","B","","A","","C","","B","","D","","D","","D","","D","","D","","D","","C","","D","","D","","D","","D","","","","A","","B","","D"
"145","","?","0","","B","","B","","C","","C","","C","","B","","B","","C","","B","","C","","D","","D","","C","","B","","B","","C","","C","","C","","C","","C","","C","","C","","A","","A","","C"
"146","","?","0","","B","","B","","D","","E","","B","","B","","E","","B","","B","","E","","C","","B","","E","","B","","E","","C","","C","","C","","C","","C","","C","","C","","C","","B","","B"
"147","","?","0","","B","","C","","C","","D","","B","","B","","C","","A","","D","","B","","D","","A","","B","","C","","C","","C","","C","","D","","D","","D","","D","","D","","A","","A","","C"
"148","","?","0","","C","","B","","D","","C","","B","","C","","B","","A","","C","","A","","C","","B","","C","","B","","D","","B","","C","","D","","D","","D","","D","","D","","B","","A","","B"
"149","","?","0","","A","","D","","D","","D","","C","","","","","","","","","","B","","C","","A","","C","","B","","A","","E","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"150","","?","0","","B","","D","","D","","D","","C","","B","","C","","A","","B","","E","","C","","B","","E","","B","","D","","B","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"151","","?","0","","B","","B","","B","","D","","C","","C","","C","","B","","B","","C","","B","","A","","E","","B","","C","","C","","E","","D","","D","","D","","B","","D","","C","","A","","C"
"152","","?","0","","B","","C","","E","","C","","C","","C","","B","","E","","A","","E","","C","","A","","B","","D","","C","","A","","A","","C","","C","","C","","E","","D","","D","","B","","C"
"153","","?","0","","A","","D","","D","","D","","B","","E","","B","","A","","C","","B","","D","","B","","C","","A","","C","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"154","","?","0","","C","","D","","D","","D","","C","","B","","B","","A","","A","","A","","A","","A","","D","","A","","A","","A","","A","","D","","D","","D","","D","","D","","A","","B","","A"
"155","","?","0","","B","","C","","E","","D","","B","","B","","A","","A","","B","","A","","E","","C","","E","","B","","E","","B","","B","","D","","D","","D","","D","","D","","B","","A","","B"
"156","","?","0","","C","","C","","D","","D","","C","","B","","C","","E","","C","","C","","D","","D","","A","","B","","D","","C","","C","","A","","E","","E","","C","","D","","C","","B","","C"
"157","","?","0","","B","","B","","C","","D","","B","","D","","D","","A","","B","","C","","D","","D","","B","","C","","D","","B","","D","","D","","D","","C","","D","","E","","B","","A","","B"
"158","","?","0","","A","","D","","D","","D","","B","","B","","C","","A","","B","","B","","C","","E","","B","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"159","","?","0","","B","","C","","D","","D","","C","","B","","C","","C","","D","","B","","D","","D","","C","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"160","","?","0","","C","","C","","D","","D","","A","","B","","A","","A","","C","","B","","D","","C","","D","","C","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","B"
"161","","?","0","","B","","C","","D","","D","","B","","B","","C","","A","","D","","A","","D","","B","","E","","B","","C","","B","","B","","D","","D","","C","","D","","D","","C","","B","","B"
"162","","?","0","","A","","D","","D","","D","","A","","B","","C","","B","","A","","C","","D","","E","","D","","B","","D","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"163","","?","0","","B","","D","","D","","D","","B","","E","","B","","A","","C","","D","","D","","E","","D","","B","","D","","C","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"164","","?","0","","A","","D","","D","","D","","C","","E","","B","","A","","B","","E","","D","","A","","C","","B","","E","","B","","D","","D","","D","","D","","D","","D","","B","","B","","B"
"165","","?","0","","C","","D","","D","","D","","B","","C","","B","","A","","B","","D","","B","","B","","C","","D","","D","","E","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"166","","?","0","","B","","C","","D","","D","","B","","C","","D","","A","","D","","C","","C","","B","","E","","B","","C","","C","","C","","D","","D","","C","","D","","D","","C","","B","","C"
"167","","?","0","","A","","E","","D","","C","","A","","C","","B","","A","","D","","C","","D","","C","","E","","C","","D","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"168","","?","0","","B","","D","","D","","D","","B","","E","","C","","A","","C","","A","","C","","C","","C","","B","","E","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"169","","?","0","","A","","B","","C","","C","","B","","C","","C","","B","","B","","D","","C","","B","","B","","C","","D","","E","","C","","C","","D","","C","","C","","E","","B","","B","","D"
"170","","?","0","","B","","B","","D","","D","","B","","E","","B","","A","","A","","A","","B","","A","","E","","B","","B","","B","","B","","D","","D","","D","","D","","D","","C","","A","","A"
"171","","?","0","","B","","D","","D","","D","","B","","B","","D","","A","","C","","E","","D","","B","","D","","B","","D","","B","","C","","C","","D","","D","","D","","D","","C","","B","","B"
"172","","?","0","","B","","D","","D","","E","","A","","D","","D","","A","","A","","E","","D","","D","","E","","C","","E","","B","","D","","D","","D","","D","","D","","D","","C","","B","","A"
"173","","?","0","","C","","B","","B","","D","","A","","A","","A","","A","","E","","A","","A","","A","","D","","B","","B","","A","","A","","E","","E","","D","","E","","D","","C","","A","","B"
"174","","?","0","","C","","E","","D","","E","","C","","E","","C","","A","","E","","B","","E","","E","","E","","B","","E","","B","","E","","E","","E","","E","","E","","D","","D","","","","B"
"175","","?","0","","B","","D","","D","","D","","B","","C","","D","","A","","C","","C","","D","","D","","D","","B","","D","","B","","B","","D","","D","","D","","D","","D","","A","","B","","B"
"176","","?","0","","B","","D","","C","","B","","C","","E","","B","","A","","B","","B","","B","","A","","C","","B","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"177","","?","0","","D","","E","","D","","D","","A","","C","","B","","A","","C","","E","","D","","D","","E","","D","","D","","D","","D","","D","","D","","D","","D","","D","","B","","B","","A"
"178","","?","0","","B","","D","","D","","D","","A","","B","","C","","A","","B","","B","","D","","B","","D","","B","","E","","B","","E","","D","","D","","D","","D","","D","","B","","B","","B"
"188","","?","0","","B","","D","","C","","A","","A","","C","","C","","A","","C","","B","","D","","D","","D","","B","","E","","C","","D","","D","","D","","D","","D","","D","","A","","B","","D"
"209","","?","0","","B","","E","","D","","D","","B","","C","","B","","A","","C","","B","","D","","B","","B","","D","","D","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"210","","?","0","","B","","C","","D","","D","","B","","B","","A","","A","","C","","B","","D","","D","","C","","B","","D","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"211","","?","0","","B","","C","","C","","B","","C","","C","","D","","B","","B","","B","","D","","C","","C","","B","","D","","C","","C","","D","","D","","D","","D","","D","","B","","B","","C"
"212","","?","0","","A","","D","","D","","D","","B","","B","","D","","A","","B","","A","","B","","B","","C","","A","","B","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"213","","?","0","","B","","D","","D","","C","","B","","B","","D","","A","","B","","A","","B","","A","","B","","A","","B","","C","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"214","","?","0","","A","","C","","C","","D","","B","","E","","C","","B","","C","","D","","D","","C","","E","","B","","E","","A","","C","","D","","D","","D","","D","","D","","D","","B","","B"
"215","","?","0","","C","","B","","D","","C","","B","","B","","D","","A","","C","","C","","B","","A","","A","","A","","C","","B","","B","","D","","D","","C","","D","","C","","A","","A","","E"
"216","","?","0","","B","","D","","D","","D","","B","","C","","B","","B","","C","","C","","B","","A","","B","","A","","B","","B","","A","","D","","D","","D","","D","","D","","C","","B","","B"
"217","","?","0","","C","","A","","E","","A","","E","","A","","D","","A","","A","","C","","A","","A","","A","","B","","B","","C","","A","","D","","D","","","","C","","D","","A","","A","","D"
"219","","?","0","","A","","D","","D","","D","","C","","A","","C","","A","","E","","B","","E","","A","","E","","A","","B","","B","","C","","D","","D","","D","","D","","D","","C","","B","","A"
"220","","?","0","","B","","D","","D","","D","","C","","B","","D","","A","","B","","A","","D","","B","","D","","B","","D","","E","","C","","D","","D","","D","","D","","D","","B","","B","","A"
"221","","?","0","","C","","A","","D","","D","","C","","E","","C","","B","","E","","D","","C","","E","","E","","E","","E","","B","","C","","E","","E","","E","","E","","B","","C","","A","","D"
"222","","?","0","","B","","D","","D","","E","","B","","D","","C","","B","","E","","E","","D","","E","","E","","E","","E","","E","","C","","E","","D","","D","","D","","D","","C","","A","","B"
"223","","?","0","","B","","C","","D","","D","","B","","C","","B","","A","","B","","B","","C","","B","","E","","B","","E","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"224","","?","0","","B","","E","","D","","D","","B","","E","","A","","B","","D","","A","","D","","E","","D","","D","","D","","A","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"225","","?","0","","B","","B","","D","","D","","B","","C","","B","","A","","D","","B","","D","","A","","E","","A","","D","","A","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"226","","?","0","","B","","C","","D","","D","","","","D","","D","","B","","A","","C","","B","","C","","D","","A","","A","","A","","A","","B","","D","","D","","E","","D","","A","","A","","A"
"229","","?","0","","B","","B","","D","","D","","D","","C","","D","","A","","B","","A","","D","","B","","E","","B","","C","","B","","B","","D","","D","","D","","D","","D","","A","","B","","B"
"230","","?","0","","B","","C","","D","","D","","B","","B","","D","","A","","C","","D","","C","","B","","C","","A","","D","","B","","B","","D","","D","","D","","D","","D","","B","","A","","C"
"235","","?","0","","C","","A","","C","","D","","B","","D","","D","","A","","A","","A","","D","","A","","D","","B","","D","","A","","C","","B","","D","","D","","B","","D","","A","","B","","B"
"237","","?","0","","B","","C","","C","","D","","B","","E","","","","A","","B","","A","","D","","A","","E","","B","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","B"
"238","","?","0","","A","","B","","B","","C","","B","","B","","B","","A","","B","","C","","B","","A","","C","","B","","B","","A","","B","","C","","C","","D","","D","","C","","D","","B","","C"
"239","","?","0","","A","","C","","C","","C","","B","","C","","C","","A","","A","","C","","C","","A","","B","","B","","A","","C","","B","","C","","C","","C","","D","","D","","A","","B","","C"
"240","","?","0","","A","","C","","D","","D","","B","","B","","C","","B","","B","","C","","E","","A","","A","","C","","B","","B","","A","","C","","D","","D","","E","","D","","C","","B","","D"
"241","","?","0","","A","","D","","D","","D","","C","","B","","C","","A","","A","","C","","A","","A","","A","","A","","B","","A","","B","","C","","C","","C","","C","","D","","C","","B","","B"
"242","","?","0","","A","","A","","C","","A","","C","","C","","B","","B","","B","","D","","D","","A","","C","","C","","C","","A","","D","","C","","C","","C","","B","","C","","D","","B","","B"
"243","","?","0","","A","","B","","C","","C","","C","","C","","C","","B","","B","","D","","C","","B","","B","","B","","E","","B","","B","","E","","E","","E","","C","","E","","A","","B","","D"
"244","","?","0","","A","","C","","C","","","","B","","C","","D","","A","","C","","A","","C","","A","","B","","C","","C","","C","","B","","B","","C","","D","","C","","D","","C","","A","","D"
"245","","?","0","","A","","B","","B","","B","","B","","E","","A","","A","","A","","C","","B","","A","","E","","A","","B","","A","","A","","B","","B","","C","","C","","D","","C","","A","","C"
"246","","?","0","","A","","B","","D","","D","","C","","B","","C","","A","","A","","C","","D","","B","","E","","E","","E","","E","","B","","C","","D","","D","","D","","D","","E","","B","","C"
"247","","?","0","","A","","D","","D","","D","","A","","D","","B","","A","","B","","C","","C","","C","","B","","B","","C","","B","","C","","D","","D","","D","","D","","D","","B","","A","","C"
"248","","?","0","","A","","B","","D","","D","","B","","B","","C","","A","","D","","B","","D","","B","","C","","B","","E","","","","","","D","","D","","D","","D","","D","","D","","B","","A"
"249","","?","0","","A","","B","","A","","E","","C","","","","","","","","","","B","","C","","B","","B","","","","","","","","","","E","","E","","C","","C","","C","","D","","B","","D"
"250","","?","0","","C","","D","","D","","D","","D","","C","","B","","B","","D","","B","","D","","C","","C","","","","D","","A","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"251","","?","0","","A","","E","","D","","D","","A","","B","","C","","A","","E","","C","","D","","A","","D","","A","","B","","B","","D","","D","","D","","D","","D","","D","","B","","B","","B"
"252","","?","0","","A","","D","","D","","D","","C","","B","","C","","A","","B","","B","","D","","B","","C","","A","","E","","A","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"253","","?","0","","B","","D","","D","","D","","B","","E","","B","","A","","C","","A","","D","","C","","D","","C","","D","","C","","C","","D","","D","","D","","D","","D","","A","","B","","A"
"254","","?","0","","B","","C","","D","","D","","A","","A","","A","","A","","D","","A","","D","","D","","D","","A","","D","","B","","E","","D","","D","","D","","D","","D","","A","","B","","A"
"255","","?","0","","A","","B","","D","","E","","B","","C","","C","","E","","C","","C","","E","","A","","B","","C","","E","","B","","B","","D","","D","","D","","E","","D","","C","","B","","B"
"256","","?","0","","B","","D","","D","","D","","B","","B","","D","","A","","D","","A","","D","","B","","D","","B","","C","","B","","D","","B","","D","","D","","D","","D","","A","","B","","B"
"258","","?","0","","B","","D","","D","","D","","B","","E","","C","","B","","C","","B","","D","","D","","D","","B","","D","","E","","C","","D","","D","","D","","D","","D","","A","","B","","A"
"259","","?","0","","B","","B","","D","","D","","C","","D","","B","","A","","D","","A","","D","","D","","E","","D","","D","","A","","B","","D","","D","","D","","D","","D","","B","","A","","A"
"260","","?","0","","B","","D","","D","","E","","C","","C","","C","","E","","E","","A","","D","","D","","D","","D","","D","","B","","C","","D","","D","","D","","D","","D","","B","","B","","A"
"261","","?","0","","B","","C","","D","","D","","C","","B","","D","","A","","C","","C","","C","","C","","D","","B","","B","","C","","A","","D","","D","","D","","D","","D","","C","","B","","B"
"262","","?","0","","B","","C","","E","","D","","C","","C","","D","","A","","D","","E","","C","","B","","E","","A","","C","","A","","A","","C","","D","","D","","D","","C","","D","","C","","A"
"263","","?","0","","B","","D","","D","","D","","B","","E","","B","","A","","C","","","","D","","E","","D","","A","","D","","C","","C","","D","","D","","D","","D","","D","","C","","B","","A"
"264","","?","0","","A","","E","","D","","D","","B","","C","","C","","B","","E","","B","","C","","E","","E","","B","","E","","B","","E","","D","","D","","D","","D","","D","","D","","B","","C"
"265","","?","0","","B","","D","","D","","D","","B","","C","","B","","A","","C","","A","","D","","B","","C","","B","","C","","B","","C","","D","","D","","D","","D","","D","","D","","B","","C"
"266","","?","0","","A","","C","","D","","D","","B","","B","","C","","A","","A","","C","","C","","C","","B","","E","","C","","C","","C","","D","","D","","D","","D","","D","","D","","B","","B"
"268","","?","0","","A","","D","","D","","D","","C","","D","","B","","B","","D","","A","","D","","C","","D","","C","","D","","A","","C","","D","","D","","D","","D","","D","","B","","A","","A"
"269","","?","0","","A","","B","","D","","D","","C","","B","","A","","C","","C","","A","","D","","B","","D","","D","","D","","A","","D","","D","","D","","D","","D","","D","","A","","A","","A"
"270","","?","0","","A","","C","","D","","D","","C","","B","","B","","A","","B","","C","","D","","A","","B","","B","","B","","A","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"271","","?","0","","B","","E","","D","","D","","C","","E","","E","","A","","B","","D","","B","","B","","C","","B","","E","","E","","B","","E","","D","","D","","E","","D","","C","","B","","B"
"272","","?","0","","A","","E","","A","","D","","C","","B","","D","","A","","A","","E","","B","","A","","E","","E","","B","","A","","A","","E","","D","","D","","E","","D","","A","","B","","B"
"273","","?","0","","A","","C","","E","","D","","B","","C","","C","","A","","B","","B","","C","","A","","E","","A","","B","","E","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"274","","?","0","","B","","B","","C","","D","","","","C","","C","","A","","D","","A","","D","","E","","C","","A","","D","","B","","B","","D","","D","","D","","D","","D","","C","","A","","B"
"275","","?","0","","B","","D","","D","","D","","A","","D","","A","","B","","D","","A","","D","","D","","D","","D","","D","","A","","E","","D","","D","","D","","D","","D","","A","","A","","A"
"276","","?","0","","A","","C","","D","","D","","B","","B","","C","","B","","D","","B","","D","","D","","C","","E","","D","","E","","","","D","","D","","D","","D","","D","","B","","A","","B"
"281","","?","0","","A","","C","","D","","D","","B","","C","","B","","A","","C","","B","","C","","B","","C","","B","","D","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"282","","?","0","","B","","C","","D","","D","","A","","B","","A","","B","","D","","A","","D","","D","","D","","B","","D","","A","","C","","D","","D","","D","","D","","D","","B","","A","","A"
"283","","?","0","","A","","C","","D","","D","","B","","C","","C","","A","","B","","B","","D","","C","","C","","B","","E","","B","","C","","D","","D","","D","","D","","D","","B","","B","","A"
"284","","?","0","","B","","D","","D","","D","","B","","B","","D","","A","","E","","B","","D","","D","","D","","B","","E","","B","","E","","D","","D","","D","","D","","D","","C","","B","","B"
"285","","?","0","","A","","D","","D","","D","","B","","C","","D","","A","","C","","D","","D","","B","","C","","B","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"286","","?","0","","D","","B","","D","","D","","B","","C","","A","","A","","B","","A","","D","","D","","E","","B","","D","","B","","D","","D","","D","","D","","D","","D","","B","","A","","B"
"287","","?","0","","A","","B","","D","","D","","A","","D","","C","","A","","C","","A","","D","","E","","E","","D","","D","","A","","B","","D","","D","","D","","D","","D","","A","","A","","A"
"288","","?","0","","B","","","","B","","D","","B","","E","","C","","A","","B","","C","","D","","A","","D","","A","","C","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"289","","?","0","","A","","C","","C","","D","","B","","B","","B","","A","","B","","C","","D","","C","","C","","B","","D","","A","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"290","","?","0","","A","","D","","D","","D","","C","","E","","B","","B","","A","","C","","D","","B","","E","","C","","D","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"291","","?","0","","B","","D","","D","","D","","A","","B","","B","","A","","E","","C","","C","","E","","C","","B","","E","","B","","C","","D","","D","","D","","D","","D","","B","","B","","C"
"292","","?","0","","B","","B","","C","","C","","B","","C","","C","","A","","B","","C","","C","","A","","E","","A","","D","","B","","A","","B","","D","","D","","D","","D","","E","","A","",""
"293","","?","0","","A","","C","","D","","D","","C","","B","","B","","A","","C","","A","","D","","C","","D","","E","","C","","B","","C","","D","","D","","D","","D","","D","","D","","B","","B"
"294","","?","0","","D","","C","","D","","D","","C","","","","","","","","","","B","","C","","C","","C","","","","","","","","","","C","","D","","D","","D","","D","","C","","B","","B"
"295","","?","0","","B","","A","","C","","D","","B","","C","","E","","B","","C","","D","","C","","C","","E","","B","","D","","B","","A","","D","","D","","D","","D","","","","B","","A","","C"
"296","","?","0","","D","","A","","B","","C","","B","","C","","C","","B","","D","","A","","C","","E","","E","","E","","E","","E","","E","","D","","D","","D","","D","","D","","D","","A","","B"
"297","","?","0","","B","","C","","D","","C","","B","","B","","B","","A","","B","","A","","D","","B","","B","","A","","B","","B","","C","","C","","D","","D","","D","","D","","B","","A","",""
